,broker_matching_name,choice,gpt,brokername
0,ABG,229,False,ABG Sundal Collier
1,ABLEICH,34,False,Natixis Bleichroeder Inc.
2,ABNLATAM,0,True,
3,ABSA,1859,True,Absa Bank Limited
4,ACCIVAL,3,False,Citigroup Inc
5,ACCOUNT,1121,False,Accountability Research Corporation
6,ACIRESCA,2279,False,ACI Research
7,ACTINVER,349,False,BBVA Corporate and Investment Bank
8,ACUMEN,443,False,Acumen Capital Finance Partners Limited
9,ADAMS,1122,True,Adams Harkness
10,ADVEST,53,False,"Advest, Inc."
11,AEGISCAP,2869,False,Aegis Capital Corporation
12,AFIN,0,True,
13,AFRIFSEC,448,True,Afrifocus Securities (Pty) Ltd.
14,AGORASEN,451,True,Agora Senior
15,AKROS,488,True,Banca Akros S.p.A. (ESN)
16,ALEMBIC,2471,True,Alembic Global Advisors
17,ALFABANK,456,True,Alfa Bank
18,ALLARIA,1125,False,Allaria Ledesma & Cia Sociedad de Bolsa S.A.
19,ALLISEC,2786,True,National Alliance Securities
20,ALPHA,458,True,Alpha Finance Investment Services S.A.
21,ALPHABRI,3552,True,Alphabridge Group Inc.
22,ALPHAV,2790,False,AlphaValue
23,ALSTER,1113,True,SRH AlsterResearch AG
24,ALTACORP,2771,False,ATB Capital Markets
25,ALTIUM,134,True,Altium Capital Limited
26,AMBITCAP,2344,True,Ambit Capital
27,AMERICAP,336,True,"American Capital Partners, LLC"
28,AMERTECH,54,False,"Gleacher & Company, Inc."
29,AMRO,159,False,NWM Strategy
30,ANALYST,3103,False,The Analyst Research LLP
31,ANTRIM,0,True,
32,APALACHE,3554,False,Apalache Análisis
33,APERION,339,True,Aperion Group LLC
34,ARABELLA,465,False,Arabella Securities
35,ARBUTHNO,466,True,Arbuthnot Securities Limited
36,ARCTIC,2310,True,Arctic Securities ASA
37,ARDOUR,57,False,"Ardour Capital Investments, LLC"
38,ARETE,2311,False,Arete Research Services LLP
39,ARGUS,467,False,Argus Research Company
40,ARNESON,1711,False,"Kercheville & Company, Inc."
41,ARNHOLDB,34,False,Natixis Bleichroeder Inc.
42,AROS,891,False,Nordea Markets
43,ARPART,0,True,
44,ARQAAM,2809,True,Arqaam Capital Research Offshore S.A.L.
45,ASIAEQFH,0,True,
46,ATLANEQU,476,True,Atlantic Equities LLP
47,ATLANTIK,477,False,J & T Banka
48,ATON,511,True,UniCredit Research
49,ATONLINE,479,True,Aton LLC
50,AUERBACH,0,True,
51,AURIGA,1870,True,Auriga USA LLC
52,AVIAN,0,True,
53,AVIORRES,2809,False,Arqaam Capital Research Offshore S.A.L.
54,AVONDALE,58,False,Avondale Partners
55,AXIACAP,3210,True,"Axia Capital Markets, LLC"
56,AXIAFR,484,False,Axia Financial Research
57,AXIAVEN,3210,False,"Axia Capital Markets, LLC"
58,BAABANK,2905,True,Baader Helvea Equity Research
59,BACHE,408,False,"Prudential Equity Group, LLC"
60,BAILLIEU,617,False,EL&C Baillieu
61,BAKER,174,False,"Ferris, Baker Watts"
62,BALDWINA,0,True,BALDWIN ANTHONY SECURITIES
63,BANCOINV,495,False,BB Banco de Investimento S.A.
64,BANIFPRI,500,True,Caixa Geral de Depósitos
65,BANKAM,1879,False,Bank am Bellevue
66,BANKMOS,2399,True,Bank of Moscow
67,BANKVONT,203,True,Bank Vontobel AG
68,BAPTISTA,3516,False,Baptista Research
69,BARREN,3636,True,Barrenjoey Markets Pty Limited
70,BARRING,141,False,"Barrington Research Associates, Inc."
71,BAUM,680,False,George K. Baum & Company
72,BAYLAND,512,False,Bayerische Landesbank
73,BBVALTAM,349,False,BBVA Corporate and Investment Bank
74,BBY,0,True,
75,BCSLTD,2406,True,BCS Global Markets
76,BEACONS,1151,True,Beacon Securities Limited
77,BEAR,311,False,Bear Stearns Companies Inc.
78,BEESON,160,True,Evolution Securities
79,BELMONT,42,True,"Soleil Securities Group, Inc."
80,BEREAN,0,True,
81,BEREN,517,False,Berenberg
82,BERN,158,False,"Sanford C. Bernstein & Co., LLC"
83,BGBSEC,2281,False,"BGB Securities, Inc."
84,BGCPART,2544,True,"BGC Partners, Inc."
85,BHFBANK,518,True,BHF-Bank Aktiengesellschaft
86,BIGELOW,0,True,BIGELOW & COMPANY
87,BIO,519,False,BioScience Securities Inc
88,BJM,521,True,Rencap Securities
89,BLACK,522,True,Black & Co Inc.
90,BLAIR,51,False,William Blair & Company L.L.C.
91,BLAYLOCK,1155,False,Blaylock & Company Inc.
92,BLAYROB,2890,True,Blaylock Beal Van
93,BLC,383,False,HSBC
94,BLUE,1056,False,Trade.com Global Markets Inc
95,BLUEFIRE,523,True,BlueFire Research
96,BLULOTUS,3267,True,Blue Lotus Research Institute
97,BLURTON,2396,False,Bloom Burton & Co.
98,BNPFH,352,True,BNP Paribas Securities (Asia)
99,BOCI,525,True,BOCI Research Ltd.
100,BOCINTER,525,True,BOCI Research Ltd.
101,BOCOM,2951,True,BOCOM International Securities Limited
102,BOENAT,877,True,Nedbank Corporate and Investment Bank
103,BOENNING,142,True,"Boenning & Scattergood, Inc."
104,BOENRE,1478,False,Boston Energy Research
105,BPAULI,730,True,Huntleigh Securities Corporation
106,BRADESCO,1106,False,Bradesco S.A. Corretora de Títulos e Valores Mobiliários
107,BRADFORD,1229,True,J.C. Bradford & Co.
108,BRADLEY,3574,True,Bradley Woods & Co. Ltd.
109,BRANCHCA,527,True,Branch Cabell & Co Inc
110,BREAN,143,False,Brean Capital
111,BREBANK,0,True,
112,BRIGANUS,2299,True,Brigantine Advisors
113,BRILEY,140,False,"B. Riley Securities, Inc."
114,BROADWAL,0,True,
115,BROOKCM,3352,True,Brookline Capital Markets
116,BROWNBRO,63,False,Brown Brothers Harriman
117,BRYAN,1893,False,Bryan Garnier & Co
118,BTIG,2527,False,BTIG
119,BUALUANG,1636,False,Bualuang Securities PCL
120,BUCK,64,False,Buckingham Research Group Inc.
121,BURNHAM,1480,True,Burnham Securities Inc.
122,BURNS,228,True,BMO Capital Markets Equity Research
123,BUTTER,162,True,Seymour Pierce Limited
124,BVBANK,511,False,UniCredit Research
125,BWS,356,False,BWS Financial Inc.
126,CABLEHOW,832,True,"Ragen Mackenzie Group, Inc."
127,CABOTO,0,True,
128,CABOTWEL,3609,False,Cabot Wealth Network
129,CAIB,511,False,UniCredit Research
130,CANACCOR,170,False,Canaccord Genuity
131,CANTIL,0,True,
132,CANTORFZ,133,False,Cantor Fitzgerald & Co.
133,CANTORS,2881,True,Cantor Fitzgerald Europe
134,CAPELEUR,383,False,HSBC
135,CAPITALG,540,True,"Capital Growth Financial, LLC"
136,CAPLP,2539,True,Casimir Capital L.P.
137,CAPSTONE,226,False,Capstone Investments
138,CARISCO,290,False,Caris & Company
139,CARNEGIE,294,True,Carnegie Investment Bank AB
140,CATHAY,177,False,Cathay Financial
141,CBRADFOR,42,True,"Soleil Securities Group, Inc."
142,CCB,357,True,CCB International Securities Limited
143,CDC,2326,False,Natixis S.A.
144,CELCAP,0,True,
145,CENKSEC,550,True,Cavendish Historical (Cenkos Securities)
146,CENTRE,183,True,CiG
147,CENTRO,0,True,
148,CFRANOWM,247,False,CFRA Equity Research
149,CGALAXY,3188,True,China Galaxy International Securities (Hong Kong)
150,CHAPMAN,1047,True,Chapman Company
151,CHARDAN,2433,False,"Chardan Capital Markets, LLC"
152,CHARLES,775,True,Joseph Charles & Associates Inc
153,CHARTERE,0,True,
154,CHARTHSE,324,False,ING Groep NV
155,CHEIROLO,0,True,
156,CHEVREUX,2957,True,Kepler Cheuvreux
157,CHICAGO,159,True,NWM Strategy
158,CHINAFA,0,True,
159,CHINARE,0,True,
160,CHOLET,68,True,Credit Agricole Securities (USA) Inc.
161,CHRENUSA,3253,True,China Renaissance Securities
162,CIC,574,True,CIC Market Solutions (ESN)
163,CICC,564,True,China International Capital Corporation Limited
164,CICEGYPT,1224,False,CI Capital Research
165,CIMBFM,0,True,
166,CINDASEC,0,True,
167,CITICF,570,True,"Citic Securities Co., Ltd."
168,CITICSEC,570,True,"Citic Securities Co., Ltd."
169,CJSSECUR,299,False,"CJS Securities, Inc."
170,CLADR,68,True,Credit Agricole Securities (USA) Inc.
171,CLALEXHK,573,True,CLSA
172,CLALFINA,295,True,Clal Finance Ltd.
173,CLARKY,2740,False,Clarksons Platou Securities
174,CLARUS,187,False,Clarus Securities Inc.
175,CLEARY,1061,False,Tucker Anthony Sutro Capital Markets
176,CLEAVES,0,True,
177,CLEVELAN,1177,True,Cleveland Research Company
178,CLKA,67,False,"CL King & Associates, Inc."
179,CLUSA,68,True,Credit Agricole Securities (USA) Inc.
180,CMBSEC,2761,True,CMB International Securities Limited
181,CMCCS,2826,True,"China Merchants Securities (HK) Co., Ltd"
182,CMCHANT,359,True,China Merchants Securities Co. Ltd.
183,CNNING,584,True,Conning Research and Consulting
184,COBROS,172,False,Cohen & Company
185,COCHRAN,576,True,Cochran Caronia Waller Securities
186,COKERPAL,579,True,Coker Palmer Institutional
187,COLEMAN,299,True,"CJS Securities, inc"
188,COMMERBK,330,False,Commerzbank AG
189,COMMSEC,2540,False,Commonwealth Bank of Australia
190,CONSUMER,2585,False,"Consumer Edge Research, LLC"
191,COOPER,173,False,"C. K. Cooper & Company, Inc."
192,CORINTHI,71,True,Corinthian Partners
193,CORPSYNG,0,True,
194,COULOIR,3520,False,Couloir Capital Limited
195,CRAIG,181,False,Craig-Hallum Capital Group LLC
196,CREAGRI,0,True,
197,CRISPIDE,2587,True,Crisp Idea
198,CROSSRE,590,True,Cross Research LLC
199,CROWELL,72,False,"Crowell, Weedon & Co."
200,CRTCAP,591,True,CRT Capital Group
201,CRUTTEN,40,False,Roth MKM
202,CSFBFH,4,True,Credit Suisse
203,CTSECUR,120,False,Scotiabank Global Banking and Market
204,CWEALTH,581,False,Commonwealth Associates L.P.
205,DAEHAN,0,True,
206,DAEWOO,592,True,Mirae Asset Securities Co. Ltd.
207,DAHLROSE,303,True,Cohen Securities LLC
208,DAIN,115,False,RBC Capital Markets
209,DAINPCG,2395,False,"RBC Wealth Management, Inc."
210,DAISHER,2656,True,Daishin Securities Co. Ltd.
211,DAIWAUS,594,False,Daiwa Securities Co. Ltd.
212,DAKIN,32,False,Moors & Cabot
213,DANBORS,596,False,Danske Bank
214,DAVIDSON,180,False,D.A. Davidson & Co.
215,DAVIS,48,True,"Thompson, Davis & Company"
216,DAWSON,597,True,Dawson James Securities
217,DBDAY,2374,False,Day By Day
218,DBS,265,True,DBS Vickers Research
219,DBSFC,265,True,DBS Vickers Research
220,DBSFH,265,True,DBS Vickers Research
221,DDRES,0,True,
222,DEACON,241,False,Eight Capital
223,DECATUR,598,True,"Decatur Jones Equity Partners, LLC"
224,DEINVEST,5,True,Deutsche Bank
225,DELAHAMB,75,False,Delafield Hambrecht
226,DENANT,2326,True,Natixis S.A.
227,DESJARD,315,False,Desjardins Securities Inc.
228,DGBANK,145,False,Dz Bank Ag
229,DHSFH,0,True,
230,DIRFH,594,True,Daiwa Securities Co. Ltd.
231,DKB,6,False,Dresdner Kleinwort
232,DKBFH,0,True,
233,DLJ,611,True,"Donaldson, Lufkin & Jenrette Securities Corp."
234,DLJFH,611,True,"Donaldson, Lufkin & Jenrette Securities Corp."
235,DLOUHY,317,False,Cantor Fitzgerald Canada Corporation
236,DMGEUR,5,False,Deutsche Bank
237,DNC,314,False,DNB Markets
238,DOLATCAP,1187,True,Dolat Capital Market Pvt. Ltd.
239,DOLMEN,1188,True,Cantor Fitzgerald Ireland
240,DOMINICK,2134,True,Dominick & Dominick LLC
241,DOWLING,368,True,Dowling & Partners Securities LLC
242,DOZEN,255,True,Cohen Grassroots Research
243,DREWRY,3012,True,Drewry Financial Research
244,DREXEL,2788,False,Drexel Hamilton
245,DUDACK,0,True,
246,DUNWIL,2276,True,"Duncan-Williams, Inc."
247,EBRIGHT,645,True,Everbright Securities Co. Ltd.
248,EDGEWA,3457,True,Edgewater Research Company
249,EDJONES,623,False,"Edward D. Jones & Co., L.P."
250,EDWARDS,450,False,AG Edwards Inc.
251,EFHUTTON,3643,True,EF Hutton LLC
252,EGNATIA,841,False,Optima bank (ESN)
253,EHICKEY,376,False,Seaport Research Partners
